-------------------------------------------------------------------
|  Size  |   MySort ticks  |   MySort seconds  |   QSort ticks  |   QSort seconds  |
-------------------------------------------------------------------
|    25 |           44899 |      0.0000213805 |         16693 |    0.0000079490 |
|    50 |          124854 |      0.0000594543 |         18124 |    0.0000086305 |
|    75 |          201494 |      0.0000959495 |         26202 |    0.0000124771 |
|   100 |          388619 |      0.0001850567 |         35650 |    0.0000169762 |
|   125 |          616434 |      0.0002935400 |         42460 |    0.0000202190 |
|   150 |          246921 |      0.0001175814 |         16859 |    0.0000080281 |
|   175 |          345036 |      0.0001643029 |         17953 |    0.0000085490 |
|   200 |          473075 |      0.0002252738 |         23170 |    0.0000110333 |
|   225 |          578863 |      0.0002756490 |         24507 |    0.0000116700 |
|   250 |          661311 |      0.0003149100 |         26689 |    0.0000127090 |
|   275 |          844255 |      0.0004020262 |         31488 |    0.0000149943 |
|   300 |          942591 |      0.0004488529 |         36873 |    0.0000175586 |
|   325 |         1077912 |      0.0005132914 |         35808 |    0.0000170514 |
|   350 |         1288389 |      0.0006135186 |         38763 |    0.0000184586 |
|   375 |         1561646 |      0.0007436410 |         41975 |    0.0000199881 |
|   400 |         1723396 |      0.0008206648 |         49520 |    0.0000235810 |
|   425 |         1864113 |      0.0008876729 |         52314 |    0.0000249114 |
|   450 |         2089828 |      0.0009951562 |         56005 |    0.0000266690 |
|   475 |         2299075 |      0.0010947976 |         59266 |    0.0000282219 |
|   500 |         2500193 |      0.0011905681 |         70170 |    0.0000334143 |
|   525 |         2843497 |      0.0013540462 |         66207 |    0.0000315271 |
|   550 |         3221822 |      0.0015342010 |         70090 |    0.0000333762 |
|   575 |         3412496 |      0.0016249981 |         69757 |    0.0000332176 |
|   600 |         4090823 |      0.0019480110 |         77660 |    0.0000369810 |
|   625 |         4156598 |      0.0019793324 |         88982 |    0.0000423724 |
|   650 |         4466208 |      0.0021267657 |         88980 |    0.0000423714 |
|   675 |         6255439 |      0.0029787805 |         89119 |    0.0000424376 |
|   700 |         5533708 |      0.0026350990 |         90996 |    0.0000433314 |
|   725 |         5911223 |      0.0028148681 |         92657 |    0.0000441224 |
|   750 |         5801788 |      0.0027627562 |         96418 |    0.0000459133 |
|   775 |         6798651 |      0.0032374529 |        110489 |    0.0000526138 |
|   800 |         6673950 |      0.0031780714 |        114670 |    0.0000546048 |
|   825 |         7439587 |      0.0035426605 |        114169 |    0.0000543662 |
|   850 |         8390968 |      0.0039956990 |        141092 |    0.0000671867 |
|   875 |        12086126 |      0.0057552981 |        155942 |    0.0000742581 |
|   900 |        11448895 |      0.0054518548 |        136615 |    0.0000650548 |
|   925 |        11546843 |      0.0054984967 |        143108 |    0.0000681467 |
|   950 |         9233756 |      0.0043970267 |        135438 |    0.0000644943 |
|   975 |         9846790 |      0.0046889476 |        130516 |    0.0000621505 |
-------------------------------------------------------------------
