-------------------------------------------------------------------
|  Size  |   MySort ticks  |   MySort seconds  |   QSort ticks  |   QSort seconds  |
-------------------------------------------------------------------
|    25 |           58625 |      0.0000279167 |          7499 |    0.0000035710 |
|    50 |          141108 |      0.0000671943 |          7556 |    0.0000035981 |
|    75 |          319166 |      0.0001519838 |         12171 |    0.0000057957 |
|   100 |          567832 |      0.0002703962 |         14339 |    0.0000068281 |
|   125 |          704415 |      0.0003354357 |          5654 |    0.0000026924 |
|   150 |          371692 |      0.0001769962 |          6950 |    0.0000033095 |
|   175 |          510772 |      0.0002432248 |          7771 |    0.0000037005 |
|   200 |          661363 |      0.0003149348 |          9360 |    0.0000044571 |
|   225 |          853670 |      0.0004065095 |          9830 |    0.0000046810 |
|   250 |         1112490 |      0.0005297571 |         11418 |    0.0000054371 |
|   275 |         1244289 |      0.0005925186 |         12627 |    0.0000060129 |
|   300 |         1474621 |      0.0007022005 |         14118 |    0.0000067229 |
|   325 |         1728923 |      0.0008232967 |         16776 |    0.0000079886 |
|   350 |         1983526 |      0.0009445362 |         18339 |    0.0000087329 |
|   375 |         2316159 |      0.0011029329 |         19819 |    0.0000094376 |
|   400 |         2542960 |      0.0012109333 |         21760 |    0.0000103619 |
|   425 |         2973329 |      0.0014158710 |         22873 |    0.0000108919 |
|   450 |         3296180 |      0.0015696095 |         23887 |    0.0000113748 |
|   475 |         3674920 |      0.0017499619 |         27480 |    0.0000130857 |
|   500 |         4063382 |      0.0019349438 |         27689 |    0.0000131852 |
|   525 |         4463059 |      0.0021252662 |         29844 |    0.0000142114 |
|   550 |         4842540 |      0.0023059714 |         33205 |    0.0000158119 |
|   575 |         5383125 |      0.0025633929 |         33229 |    0.0000158233 |
|   600 |         6210473 |      0.0029573681 |         35404 |    0.0000168590 |
|   625 |         6379841 |      0.0030380195 |         35784 |    0.0000170400 |
|   650 |         7283648 |      0.0034684038 |         36353 |    0.0000173110 |
|   675 |         7267926 |      0.0034609171 |         39575 |    0.0000188452 |
|   700 |         8575324 |      0.0040834876 |         39950 |    0.0000190238 |
|   725 |         8557834 |      0.0040751590 |         40956 |    0.0000195029 |
|   750 |         9364186 |      0.0044591362 |         42340 |    0.0000201619 |
|   775 |        11258744 |      0.0053613067 |         53520 |    0.0000254857 |
|   800 |        11013110 |      0.0052443381 |         47649 |    0.0000226900 |
|   825 |        12063708 |      0.0057446229 |         52743 |    0.0000251157 |
|   850 |        18092857 |      0.0086156462 |         70351 |    0.0000335005 |
|   875 |        19956245 |      0.0095029738 |         71715 |    0.0000341500 |
|   900 |        18927049 |      0.0090128805 |         96821 |    0.0000461052 |
|   925 |        18233068 |      0.0086824133 |         65904 |    0.0000313829 |
|   950 |        14447101 |      0.0068795719 |         58940 |    0.0000280667 |
|   975 |        15421756 |      0.0073436933 |         61039 |    0.0000290662 |
-------------------------------------------------------------------
