-------------------------------------------------------------------
|  Size  |   MySort ticks  |   MySort seconds  |   QSort ticks  |   QSort seconds  |
-------------------------------------------------------------------
|    25 |            6959 |      0.0000033138 |          6115 |    0.0000029119 |
|    50 |           14626 |      0.0000069648 |          5399 |    0.0000025710 |
|    75 |           29630 |      0.0000141095 |          9001 |    0.0000042862 |
|   100 |           48911 |      0.0000232910 |         10626 |    0.0000050600 |
|   125 |           73832 |      0.0000351581 |         15139 |    0.0000072090 |
|   150 |           35794 |      0.0000170448 |          5028 |    0.0000023943 |
|   175 |           46610 |      0.0000221952 |          6040 |    0.0000028762 |
|   200 |           67365 |      0.0000320786 |          6702 |    0.0000031914 |
|   225 |           71096 |      0.0000338552 |          7700 |    0.0000036667 |
|   250 |          103642 |      0.0000493533 |          8743 |    0.0000041633 |
|   275 |          104617 |      0.0000498176 |          9586 |    0.0000045648 |
|   300 |          123775 |      0.0000589405 |         10760 |    0.0000051238 |
|   325 |          129111 |      0.0000614814 |         10107 |    0.0000048129 |
|   350 |          151489 |      0.0000721376 |         11190 |    0.0000053286 |
|   375 |          173530 |      0.0000826333 |         12027 |    0.0000057271 |
|   400 |          196951 |      0.0000937862 |         12562 |    0.0000059819 |
|   425 |          221941 |      0.0001056862 |         13793 |    0.0000065681 |
|   450 |          271139 |      0.0001291138 |         14321 |    0.0000068195 |
|   475 |          308346 |      0.0001468314 |         17270 |    0.0000082238 |
|   500 |          324371 |      0.0001544624 |         16394 |    0.0000078067 |
|   525 |          420588 |      0.0002002800 |         17049 |    0.0000081186 |
|   550 |          377610 |      0.0001798143 |         18073 |    0.0000086062 |
|   575 |          403007 |      0.0001919081 |         18114 |    0.0000086257 |
|   600 |          453964 |      0.0002161733 |         19518 |    0.0000092943 |
|   625 |          493956 |      0.0002352171 |         20050 |    0.0000095476 |
|   650 |          567522 |      0.0002702486 |         23218 |    0.0000110562 |
|   675 |          588780 |      0.0002803714 |         22150 |    0.0000105476 |
|   700 |          636129 |      0.0003029186 |         23198 |    0.0000110467 |
|   725 |          653424 |      0.0003111543 |         23499 |    0.0000111900 |
|   750 |          729320 |      0.0003472952 |         27420 |    0.0000130571 |
|   775 |         1291872 |      0.0006151771 |         42509 |    0.0000202424 |
|   800 |          815960 |      0.0003885524 |         29261 |    0.0000139338 |
|   825 |          909149 |      0.0004329281 |         30539 |    0.0000145424 |
|   850 |         1209628 |      0.0005760133 |         31266 |    0.0000148886 |
|   875 |         1979820 |      0.0009427714 |         43224 |    0.0000205829 |
|   900 |         1081371 |      0.0005149386 |         34217 |    0.0000162938 |
|   925 |         1563524 |      0.0007445352 |         37042 |    0.0000176390 |
|   950 |         1107048 |      0.0005271657 |         33116 |    0.0000157695 |
|   975 |         1177377 |      0.0005606557 |         33683 |    0.0000160395 |
-------------------------------------------------------------------
