Size	FirstNumber	RSE	Iterations	Method
{3000}	19447150.045454547	0.415340	22	{3}
{8500}	100807974.27272727	0.375056	22	{3}
{4500}	37288635.81818182	0.255740	22	{3}
{8000}	90223132.72727273	0.317431	22	{3}
{500}	638119.9545454546	0.447256	22	{3}
{3500}	24198801.727272727	0.579581	22	{3}
{2000}	9887197.545454545	0.884492	22	{3}
{9000}	108695603.9090909	0.210478	22	{3}
{5000}	44035320.59090909	0.389545	22	{3}
{6000}	57091144.95454545	0.928614	22	{3}
{5500}	49712747.31818182	0.274994	22	{3}
{7500}	81079353.77272727	0.831678	22	{3}
{1500}	6074680.7727272725	0.909309	22	{3}
{4000}	31583209.272727273	0.514121	22	{3}
{2500}	14645032.409090908	0.808822	22	{3}
{6500}	67258969.36363636	0.608176	22	{3}
{1000}	2774099.1363636362	0.603325	22	{3}
{7000}	73926743.0909091	0.688422	22	{3}
{9500}	117607993.5909091	0.404151	22	{3}
{10000}	129213531.27272727	0.233201	22	{3}
