Size	FirstNumber	RSE	Iterations	Method
{8500}	49.38662513636364	0.801902	21	{3}
{9000}	53.36074054545456	0.471153	21	{3}
{3000}	13.037615354645341	1.099137	1000	{3}
{7500}	41.912314695652164	0.973204	22	{3}
{9500}	58.45338536363638	0.319538	21	{3}
{10000}	62.67098795454546	0.374467	21	{3}
{5500}	24.915818000000005	0.405308	21	{3}
{6000}	29.674933000000017	0.997643	102	{3}
{500}	0.8041082217782209	2.195530	1000	{3}
{1000}	5.5419770139860205	1.209464	1000	{3}
{1500}	5.624442187812191	1.761641	1000	{3}
{7000}	36.773056565217395	0.989680	22	{3}
{8000}	44.73557245454546	0.754001	21	{3}
{2500}	10.63352421978022	1.306874	1000	{3}
{4000}	15.956222547368421	0.999148	189	{3}
{5000}	23.01290282008366	0.998251	238	{3}
{2000}	9.535691676323681	1.574358	1000	{3}
{3500}	14.954609411622268	0.999453	825	{3}
{6500}	32.571252	0.979455	25	{3}
{4500}	18.172588627450978	0.989793	50	{3}
